nombre_comun,especie,familia,orden,clase,grupo,zona,habitat,dieta,gestacion,crias,vida,grado_amenaza
Gorrión de Java,Padda oryzivora,Estrildidae,Passeriformes,Aves,AVES,sudeste-asiatico,"Tierras de cultivo, praderas, bosque abierto, sabana, bosques costeros y manglares. También es posible encontrarlos en ciudades y pueblos, donde se han convertido en una de las especies más comunes.","Principalmente arroz, pero también comen semillas y flores, y ocasionalmente, insectos.",Incubación 12 a 15 días,3 a 4 huevos.,8 a 10 años.,VU
Grulla coronada cuelligrís,Balearica regulorum,Gruidae,Gruiformes,Aves,AVES,africa-ecuatorial,"Generalmente se encuentra en praderas cercanas a masas de agua, donde suelen hacer sus nidos, sin embargo, a menudo se alimentan en sabanas abiertas, e incluso se la observa también se encuentran en tierras de cultivo.","Son omnívoros generalistas y se alimentan de insectos, de pequeños animales como lagartos y gusanos y de semillas.",Incubación 28-31 días.,2-4 huevos.,22 años en la naturaleza y 25 en cautividad.,EN
Gura occidental,Goura cristata,Columbidae,Columbiformes,Aves,AVES,sudeste-asiatico,"Bosques pantanosos, inundados y aluviales; pero también en bosques secundarios densos y manglares.","Frutos y semillas, aunque en ocasiones comen pequeños cangrejos que encuentran en tierras lodosas.",Incubación 1 mes.,1,14 años.,VU
Martín pescador acollarado,Todiramphus chloris,Alcedinidae,Coraciiformes,Aves,AVES,sudeste-asiatico,Zonas de manglares.,"Se alimenta principalmente de peces, aunque también capturan cangrejos, gambas, lombrices, caracoles, ranas y lagartijas.",Incubación 44 días.,2 a 7 huevos.,8 a 10 años.,LC
Miná de Bali,Leucopsar rothschildi,Sturnidae,Passeriformes,Aves,AVES,sudeste-asiatico,"Praderas, arboladas y bosques.","Omnívoro. Mezcla de semillas, frutos secos e insectos.",Incubación 13 días.,2-3 huevos.,25 años.,CR
Paloma de nicobar,Caloenas nicobarica,Columbidae,Columbiformes,Aves,AVES,sudeste-asiatico,Pequeñas islas boscosas o selvas de no más de 500 metros de altitud.,"Semillas, bayas, frutos, nueces e insectos.",Incubación dos semanas y media.,1,18 a 20 años.,NT
Paloma imperial,Ducula bicolor,Columbidae,Columbiformes,Aves,AVES,sudeste-asiatico,"Selvas costeras, manglares y plantaciones de coco.",Frutas y bayas.,Incubación 26-28 días.,1,14 años.,LC
Pavo real cuelliverde de Java,Pavo muticus ,Phasianidae,Galliformes,Aves,AVES,sudeste-asiatico,"Pueden encontrarse en una gran variedad de hábitats, desde selvas tropicales y subtropicales, de hoja perenne y caduca; a bosques de coníferas, pantanos, pastizales, bosques de matorral, bosques de bambú, sabanas y tierras de cultivo; desde el nivel del mar a 2.100 metros de altitud.","Grano, semillas, tallos, brotes, hojas, frutos e insectos.",Incubación 26 a 28 días.,4 a 6 huevos.,15 a 20 años.,EN
Pelícano oriental,Pelecanus philippensis,Pelecanidae,Pelecaniformes,Aves,AVES,sudeste-asiatico,Manglares y humedales de las costas asiáticas.,Peces.,Incubación 30 a 33 días.,3 a 4 huevos.,18 a 22 años.,NT
Perdiz Rul Rul,Rollulus rouloul,Phasianidae,Galliformes,Aves,AVES,sudeste-asiatico,Bosques y selvas tropicales húmedas.,"Omnívora: se alimenta de frutos, gusanos, insectos, larvas, semillas y hojas verdes.",Incubación 18 a 20 días.,4 a 6 huevos.,8 años.,NT
Shama malabar,Kittacincla malabarica,Muscicapidae,Passeriformes,Aves,AVES,sudeste-asiatico,"Zonas pantanosas, manglares, bosques secundarios, claros de bosque, plantaciones, jardines y parques.","Artrópodos, gusanos y bayas.",Incubación 12 a 14 días.,3 a 5 huevos.,7 años.,LC
Suirirí bicolor,Dendrocygna bicolor,Anatidae,Anseriformes,Aves,AVES,africa-ecuatorial,"Zonas pantanosas, como humedales, arrozales y manglares.","Semillas, bulbos, hierbas y tallos. Para prepararse para la puesta de huevos, las hembras ingieren gusanos acuáticos, moluscos e insectos para enriquecer su dieta.",Incubación 25 días.,10 a 15 huevos.,11 o 12 años.,LC
Tántalo africano,Mycteria ibis,Ciconiidae,Ciconiiformes,Aves,AVES,africa-ecuatorial,"Vive en una gran variedad de humedales de aguas superficiales de 10-40 cm de profundidad, tales como terrenos inundados, zonas pantanosas, márgenes de ríos y lagos, lagunas, marjales, pozas y charcas o lagos alcalinos. Es menos común en marismas, zonas costeras o estuarios y muy rara en zonas arboladas.","Su dieta consiste en pequeños animales acuáticos como ranas, pequeños peces, insectos acuáticos, gusanos, crustáceos y ocasionalmente pequeños mamíferos y aves.",Incubación 30 días.,2-3 huevos.,Hasta 28 años en cautividad.,LC
Tarro sudafricano,Tadorna cana,Anatidae,Anseriformes,Aves,AVES,africa-ecuatorial,"Lagos, ríos y zonas pantanosas próximas a praderas o zonas de vegetación baja.","Larvas, animales acuáticos, plantas, semillas, pequeños peces, caracoles y cangrejos.",Incubación 30 días.,6 a 15 huevos.,20 años.,LC
Urraca piquirroja,Urocissa erythrorhyncha,Corvidae,Passeriformes,Aves,AVES,indo-pacifico,"Bosques de montaña, tropicales y subtropicales.","Aunque son omnivoras, prefieren la proteína animal: escarabajos, orugas, ranas arborícolas, pequeños reptiles y mamíferos, incluso huevos y polluelos de otras aves. En menor proporcion se alimentan de frutas y bayas.",Incubación 17-19 días (en cautividad).,3-6 huevos.,Hasta 20 años (cautividad).,LC
Binturong,Arctictis binturong,Viverridae,Carnivora,Mammalia,MAMÍFEROS,sudeste-asiatico,Dosel del bosque de selvas tropicales de vegetación densa y bosques de tierras bajas con pastizales.,"Omnívoro. Principalmente fruta, aunque también puede ingerir insectos, pequeños animales e incluso carroña.",90 a 92 días.,1 o 2.,20 – 25 años.,VU
Chimpancé,Pan troglodytes,Hominidae,Primates,Mammalia,MAMÍFEROS,africa-ecuatorial,"Se encuentra principalmente en selvas lluviosas y bosques de galería, también en bosques de ribera, de montaña y claros de selva, pudiendo adentrarse además en sabanas arboladas.","Es omnívoro, alimentándose principalmente de frutas (la mitad de su dieta), hojas, cortezas y tallos. También se nutre de termitas y otros insectos, aves, huevos y pollos, y ocasionalmente pequeños mamíferos (entre ellos otros primates).",240 días.,1,40-60 años.,EN
Ciervo ratón menor,Tragulus javanicus,Tragulidae,Cetartiodactyla,Mammalia,MAMÍFEROS,sudeste-asiatico,"Bosques lluviosos y manglares, siempre cerca del agua.","Frutos, hierbas, hojas y bayas.",140 a 155 días.,1,14 años.,LC
Duiker azul,Philantomba monticola,Bovidae,Artiodactyla,Mammalia,MAMÍFEROS,africa-ecuatorial,Selvas lluviosas. Zonas próximas a ríos con matorrales densos y bosques de montañas hasta los 3000 m sobre el nivel del mar.,"Principalmente hojas, brotes y tallos, aunque pueden incluir en su dieta insectos y huevos.",4 meses.,1,20 años.,LC
Gibón de mejillas doradas,Nomascus gabriellae,Hylobatidae,Primates,Mammalia,MAMÍFEROS,sudeste-asiatico,Dosel del bosque.,"Principalmente fruta y hojas, aunque puede consumir insectos.",7 meses.,1,40 a 50 años.,EN
Gorila occidental de llanura,Gorilla gorilla gorilla,Hominidae,Primates,Mammalia,MAMÍFEROS,africa-ecuatorial,"Suele encontrarse en los márgenes de las selvas, selvas secundarias, bosques de ribera y claros de selva.","Un porcentaje muy alto en su dieta es vegetariana, ingiriendo una gran cantidad de plantas herbáceas, fruta, matorrales, plantas trepadoras y savia. También se alimentan de termitas, pero en un porcentaje más bajo en comparación con los vegetales.",260 días.,1,Alrededor de 50 años.,CR
Hipopótamo pigmeo,Choeropsis liberiensis,Hippopotamidae,Artiodactyla,Mammalia,MAMÍFEROS,africa-ecuatorial,"Habita en zonas de selva densa, principalmente en pequeños ríos en el interior de las selvas húmedas.","Hojas, plantas acuáticas, frutos caídos, raíces y tubérculos. Usa sus gruesos labios llevarse la comida a la boca.",196-201 días.,1,Hasta 55 años en cautividad.,EN
Lémur de cola anillada,Lemur catta,Lemuridae,Primates,Mammalia,MAMÍFEROS,isla-de-madagascar,,"Frutas, hojas, flores, hierbas y, ocasionalmente, insectos.",120-135 días.,1 individuo o gemelos.,Alrededor de 27 años en la naturaleza y 30 en cautividad.,NT
Lémur de collar blanquinegro,Varecia variegata variegata,Lemuridae,Primates,Mammalia,MAMÍFEROS,isla-de-madagascar,Bosques lluviosos.,"Es el lémur más frugívoro que existe, siendo su dieta principalmente a base de frutas, aún así también se alimenta de hojas, néctar y semillas en función de la estación.",90-102 días.,2-6.,"19 años en la naturaleza, hasta 28-32 años en cautividad.",CR
Lémur de collar rojo,Varecia rubra,Lemuridae,Primates,Mammalia,MAMÍFEROS,isla-de-madagascar,Bosques húmedos tropicales.,"Se alimentan principalmente de fruta, néctar y polen. Durante la estación seca, cuando la comida escasea, se alimentan también de hojas, flores y semillas.",90-102 días.,3,"18-20 años en naturaleza, hasta 25 años en cautividad.",EN
Lémur negro,Eulemur macaco,Lemuridae,Primates,Mammalia,MAMÍFEROS,isla-de-madagascar,Bosques y plantaciones.,"Fruta principalmente, semillas, setas y ocasionalmente milpiés.",146 días.,1,25 años (cautividad).,VU
Leopardo de Sri Lanka,Panthera pardus kotiya,,Carnivora,Mammalia,MAMÍFEROS,sudeste-asiatico,"Viven en una gran variedad de ambientes, sabanas, zonas arboladas y bosques y selvas. También habita zonas montañosas y desérticas.","Generalmente cazan ungulados de tamaño medio, como antílopes, gacelas, ciervos, cerdos o ganado y también primates. Como buenos carnívoros oportunistas que son, se alimentan además de aves, reptiles, roedores o artrópodos. Prefieren presas de entre 10-40 kg. Se ha observado también como sustraen comida a otros animales, como guepardos, hienas solitarias y otros pequeños carnívoros.",97 días.,2-3,"10-12 años en la naturaleza, hasta 20-22 en cautividad.",EN
Nutria de uñas cortas,Aonyx cinereus,Mustelidae,Carnivora,Mammalia,MAMÍFEROS,sudeste-asiatico,"Ríos, lagos, costas y cultivos de arroz.","Cangrejos, almejas, caracoles, ranas, peces, serpientes e insectos.",60 a 86 días.,2 a 7.,20 a 23 años.,VU
Orangután de borneo,Pongo pygmaeus,Hominidae,Primates,Mammalia,MAMÍFEROS,sudeste-asiatico,Dosel del bosque.,"Fruta, hojas, brotes y en ocasiones, invertebrados. Pueden enriquecer la dieta con tierra rica en minerales.",235 a 270 días.,1,,CR
Panda rojo,Ailurus fulgens,Ailuridae,Carnivora,Mammalia,MAMÍFEROS,sudeste-asiatico,"Sotobosque denso de bambú, a una altura de entre 2.200 y 4.800 m. sobre el nivel del mar.","Principalmente bambú, pero ocasionalmente comen frutos, raíces, huevos de aves y lagartijas.",134 días.,2,18 a 20 años.,EN
Potamoquero rojo,Potamochoerus porcus pictus ,Suidae,Artiodactyla,Mammalia,MAMÍFEROS,africa-ecuatorial,"Principalmente ocupa zonas boscosas y orillas pantanosas de las selvas lluviosas ecuatoriales donde hay una cubierta vegetal importante. En las zonas de transición con la sabana, frecuentemente visita zonas de sabana seca, sabana arbolada e incluso zonas de cultivo.","Omnívoro generalista, con marcada preferencia por raíces y tubérculos, también incluye en su dieta frutos, hierbas, plantas acuáticas, bulbos, insectos, huevos de aves, carroña.",120-130 días.,1-4 (rara vez 6).,12-15 años.,LC
Serval,Leptailurus serval,Felidae,Carnivora,Mammalia,MAMÍFEROS,africa-ecuatorial,"Selvas tropicales, y ocasionalmente sabanas, semidesiertos, manglares y plantaciones frutales.","Roedores y aves de tamaño medio, y excepcionalmente algunas especies de antílopes, liebres, damanes, reptiles, insectos, peces y ranas.",65 a 75 días.,1 a 4.,20 años.,LC
Sitatunga occidental,Tragelaphus spekii,Bovidae,Artiodactyla,Mammalia,MAMÍFEROS,africa-ecuatorial,"Animal de hábito semiacuático, limita muchas de sus actividades a zonas pantanosas ricas en vegetación, cañaverales densos, entornos de ríos, riachuelos y lagos y bajíos arbolados.","Cañas, plantas acuáticas y hierbas, ocasionalmente ramonea.",247 días.,1,19 años.,LC
Suricata,Suricata suricatta,,Carnivora,Mammalia,MAMÍFEROS,africa-ecuatorial,"Zonas abiertas y semiáridas, a menudo rocosas y praderas. Viven en madrigueras propias o de otros pequeños mamíferos muy extensas con múltiples entradas y cámaras donde la temperatura se mantiene más estable y confortable que en el exterior.","Insectívora, especialmente escarabajos, arácnidos y larvas de ciempiés, ocasionalmente también se alimentan de pequeños vertebrados (incluyendo lagartos y pequeñas serpientes), huevos y fruta.",70-80 días.,3,10 años.,LC
Tapir malayo,Tapirus indicus,Tapiridae,Perissodactyla,Mammalia,MAMÍFEROS,sudeste-asiatico,"Bosques de vegetación densa, colinas, tierras bajas y praderas, siempre cerca de un suministro de agua.","Frutos, hojas, ramas, brotes, arbustos y plantas acuáticas.",13 meses.,1,30 a 35 años.,EN
Tigre de sumatra,Panthera tigris sumatrae,Felidae,Carnivora,Mammalia,MAMÍFEROS,sudeste-asiatico,"Bosques lluviosos densos, de hierbas altas, que le permiten ocultarse.","Carnívoros. Cazan principalmente tapires, ciervos, jabalíes y ganado.",4 meses.,3 a 5.,18 años (en cautiverio).,CR
Zorro volador de la India,Pteropus giganteus,Pteropodidae,Chiroptera,Mammalia,MAMÍFEROS,sudeste-asiatico,Bosques próximos a ríos o grandes lagos.,Fruta.,140 a 150 días.,1,30 años.,LC
Carpa herbívora o pez amur,Ctenopharyngodon idella,Cyprinidae,Cypriniformes,Actinopterygii,PECES,sudeste-asiatico,"Remansos de ríos grandes, estanques, pantanos, lagos y embalses.","Se alimenta de plantas superiores acuáticas y de hierbas sumergidas, aunque también captura detritos, insectos y otros invertebrados.",No hay información disponible.,No hay información disponible.,Unos 50 años.,NE
Carpa plateada,Hypophthalmichthys molitrix,Cyprinidae,Cypriniformes,Actinopterygii,PECES,sudeste-asiatico,"Agua dulce, en remansos de ríos grandes, estanques, pantanos, lagos y embalses.","Las larvas y los ejemplares inmaduros comen zooplancton, mientras que a partir de cierto tamaño se nutren solo de fitoplancton.",No hay información disponible.,Hasta 2 millones de huevos.,Unos 20 años aproximadamente.,NT
Cíclidos africanos,"Aulonocara nyassae, Aulonocara baenschi, Aulonocara livignstonii, Aulonara maulana, Haplochromis livignstonii, Haplochromis moorii, Haplochromis venustus, Haplochromis fenestratus, Haplochromis borleyi, Pseudotropheus lombardoi, Pseudotropheus zebra, Pseudotropheus elongatus mpanga, Pseudotropheus zebra y Labeotropheus fuelleborni.","Aulonocara, Haplochromis, Labeotropheus y Pseudotropheus",Perciformes,Cichlidae,PECES,sudeste-asiatico,"Grandes lagos de agua dulce generalmente, aunque pueden habitar en aguas saladas o salobres.","Plantas, algas, crustáceos o pequeños peces; dependiendo del lugar donde vivan.",No hay información disponible.,No hay información disponible.,De 10 a 20 años.,NE
Esturión,"Acipenser baerii baerii, Acipenser ruthenus, Acipenser albino, Acipenser naccarii, Acipenser guldenstadti, y Acipenser stellatus",Acipenseridae,Acipenseriformes,Actinopterygii,PECES,sudeste-asiatico,Sistemas fluviales del hemisferio norte.,"Invertebrados, peces pequeños y plantas acuáticas.",No hay información disponible.,No hay información disponible.,"De 60 a 100 años, dependiendo de la subespecie.",VU
Naso,Chondrostoma nasus,Cyprinidae,Cypriniformes,Actinopterygii,PECES,sudeste-asiatico,"Agua dulce, frecuenta, sobre todo, el curso medio de los ríos aunque también se les puede encontrar en curso alto.",Algas y otras plantas acuáticas.,No hay información disponible.,No hay información disponible.,Unos 12 años.,LC
Pez Cocodrilo,Atractosteus spatula,Lepisosteidae,Lepisosteiformes,Actinopterygii,PECES,sudeste-asiatico,"Grandes lagos, ríos y pantanos, tanto de agua dulce como salobre.","Peces, anfibios, crustáceos, aves, pequeños mamíferos y carroña.",Eclosión de los huevos 6 a 8 días.,70.000 a 138.000 huevos.,De 25 a 30 años.,NE
Pez espátula,Polyodon spathula,Polyodontidae,Acipenseriformes,Actinopterygii,PECES,sudeste-asiatico,Grandes ríos de aguas lentas.,Plancton.,Eclosión de los huevos 5 días.,Entre 300.000 y 600.000.,20 a 30 años.,VU
Piraña de vientre rojo,Pygocentrus nattereri,Characidae,Characiformes,Osteichthyes,PECES,sudeste-asiatico,Grandes ríos de aguas claras y algunos torrentes y lagos.,"Insectos, gusanos y peces.",No hay información disponible.,Alrededor de 5.000 huevos.,20 años.,NE
Raya motoro,Potamotrygon motoro,Potamotrygonidae,Rajiformes,Chondrichthyes,PECES,indo-pacifico,"Aguas de ríos tranquilos, generalmente márgenes arenosos de lagunas, riachuelos y arroyos.","Plancton, pequeños moluscos, crustáceos y larvas de insectos.",6 meses.,3 a 21.,15 años.,DD
Saltarín del fango,Periophthalmus barbarus,Gobiidae,Perciformes,Actinopterygii,PECES,sudeste-asiatico,"Sustratos fangosos y aguas salobres de estuarios, lagunas y manglares. Ocasionalmente se puede encontrar en aguas dulces en zonas costeras.",Principalmente insectos y pequeños cangrejos.,No hay información disponible.,No hay información disponible.,5 a 8 años.,LC
Camaleón pantera,Furcifer pardalis,Chamaeleonidae,Squamata,Reptilia,REPTILES,indo-pacifico,Tierras bajas de bosques caducifolios cercanos a agua o caminos. Hábitats abiertos no muy sombreados.,"Invertebrados terrestes, pocas veces materia vegetal.",Incubación 3-6 semanas.,10-46 huevos.,"Cautividad 5-6 años, libertad 1-3 años.",LC
Cocodrilo del Nilo,Crocodylus niloticus,Crocodylidae,Crocodylia,Reptilia,REPTILES,africa-ecuatorial,"Viven en una gran variedad de ecosistemas acuáticos tales como lagos, ríos, humedales y pantanos de agua dulce y salobre, zonas costeras, marismas o estuarios.","Cuando son pequeños se alimentan de pequeños invertebrados acuáticos e insectos. En la edad adulta, sus presas son principalmente grandes vertebrados, como antílopes, búfalos, cebras, ñus, etc. Los peces y los pequeños vertebrados también son parte importante de su dieta.",Incubación 80-90 días.,40-60 huevos.,45 años.,LC
Cocodrilo enano,Osteolaemus tetraspis,Crocodylidae,Crocodylia,Reptilia,REPTILES,africa-ecuatorial,Vive en los cursos de agua dulce de los bosques y selvas ecuatoriales.,"Se alimenta principalmente de peces, cangrejos y anfibios.",Incubación 100 días.,11-20 huevos.,70 años.,VU
Dragón de Komodo,Varanus komodoensis,Varanidae,Squamata,Reptilia,REPTILES,indo-pacifico,Bosque.,"Cazan, a veces en grupo, todo tipo de presas como invertebrados, reptiles, aves, nidos y mamíferos hasta el tamaño de un búfalo acuático. Los grandes ejemplares cazan sobre todo ciervos, pero también consumen mucha carroña. Excepcionalmente atacan y devoran seres humanos. También excavan tumbas en busca de cadáveres.",Incubación 8 meses.,20-40 huevos.,Pueden llegar a vivir hasta los 30 años.,VU
Galápago gigante asiático,Heosemys grandis,Geoemydidae,Testudines,Reptilia,REPTILES,sudeste-asiatico,"Ríos, lagos, arroyos y pantanos de agua dulce, desde el nivel del mar a zonas montañosas. Pasan mucho tiempo en tierra, ocultas entre los arbustos.","Principalmente frutos y plantas acuáticas, aunque en cautividad pueden comer también peces o carne.",Incubación 100 días.,4 a 6 huevos.,30 años.,VU
Gecko de Madagascar,Phelsuma madagascariensis,Gekkonidae,Squamata,Reptilia,REPTILES,africa-ecuatorial,"El gecko de Madagascar es arbóreo, vive en árboles de selvas lluviosas tropicales, así como en árboles de zonas abiertas y áreas agrícolas.","Se alimenta principalmente de una amplia variedad de artrópodos, aunque ocasionalmente también se alimenta de frutos y néctar. Su principal fuente de agua es la se forma por condensación sobre las hojas.",Incubación 47-82 días.,2 huevos.,15 años.,LC
Iguana rinoceronte,Cyclura cornuta,Iguanidae,Squamata,Reptilia,REPTILES,indo-pacifico,"Bosque seco, de matorral o desierto, preferiblemente en zonas costeras, aunque en ocasiones se ven obligadas a desplazarse al interior por la acción humana.","Hojas, flores, frutos y semillas; aunque ocasionalmente pueden consumir insectos, cangrejos de tierra y carroña (principalmente pájaros y peces muertos).",Incubación 4 a 5 meses.,10 a 20.,15 a 20 años.,VU
Pitón diamantina,,Pythonidae,Squamata,Reptilia,REPTILES,indo-pacifico,Bosques tropicales.,"Pequeños mamíferos, aves y otros reptiles.",Incubación 2 meses.,5 a 20 huevos.,18 a 20 años.,LC
Pitón verde,Morelia viridis,Pythonidae,Squamata,Reptilia,REPTILES,sudeste-asiatico,"Selva lluviosa tropical, por debajo de los 2000 metros de altura.","Lagartos, aves, roedores e invertebrados.",Incubación 49 a 60 días.,6 a 32 huevos.,15 a 20 años.,LC
Serpiente liana verde,Ahaetulla nasuta,Colubridae ,Squamata,Reptilia,REPTILES,sudeste-asiatico,Bosques lluviosos.,"Pequeños reptiles, anfibios y algunas serpientes de tamaño reducido.",6 meses.,4 a 10.,12 años.,NE
Tomistoma,Tomistoma schlegelii,Crocodylidae,Crocodylia,Reptilia,REPTILES,sudeste-asiatico,"Zonas de aguas estancadas, pantanos, bosques inundados, corrientes de agua turbias, lagos y ríos de aguas lentas.","Principalmente peces, pero también devoran pequeños mamíferos y aves.",Incubación 90 a 115 días.,20 a 30.,80 a 100 años.,VU
Tortuga de caparazón blando,Trionyx triunguis,Trionychidae,Testudines,Reptilia,REPTILES,sudeste-asiatico,"Preferentemente lugares de agua dulce y de poca corriente como lagos, estanques y ríos, también puede tolerar agua salada, como la del Mediterráneo.","Principalmente carnívora. Se alimenta de peces, insectos, crustáceos, anfibios y pequeños reptiles, ocasionalmente, tambien incluyen plantas y las semillas de las palmas en su dieta.",Incubación 65 a 75 días.,40 huevos.,Hasta 53 años en cautividad.,EN
